	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
D23	11	0	7	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	52	0	0	4
D24	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4
D25	5	0	18	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	18	0	0	5
D26	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	0	0
D27	6	1	16	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	20	0	0	0
D28	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0
D29	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	8	0	0	0
D30	1	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	13	0	0	1
D31	19	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0
D32	8	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	14	0	0	1
D33	15	0	12	0	0	2	0	0	0	0	0	1	0	0	0	0	4	0	8	0	0	0
D34	22	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	0
D35	14	0	15	0	0	3	1	0	0	0	0	0	0	0	0	0	5	0	16	0	0	2
D36	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	11	0	0	1
D37	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	6
D38	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	4
