	Acer_negundo	Acer_rubrum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Carpinus_caroliniana	Carya_alba	Carya_cordiformis	Carya_glabra	Celtis_occidentalis	Cephalanthus_occidentalis	Cercis_canadensis	Cornus_florida	Elaeagnus_angustifolia	Fagus_grandifolia	Fraxinus_americana	Fraxinus_pennsylvanica	Ilex_opaca	Ilex_verticillata	Juglans_nigra	Kalmia_latifolia	Ligustrum_sp	Lindera_benzoin	Liquidambar_styraciflua	Liriodendron_tulipifera	Lonicera_mackii	Nyssa_sylvatica	Paulownia_tomentosa	Pinus_taeda	Platanus_occidentalis	Populus_grandidentata	Prunus_avium	Prunus_serotina	Quercus_alba	Quercus_coccinea	Quercus_falcata	Quercus_michauxii	Quercus_palustris	Quercus_prinus	Quercus_rubra	Quercus_stellata	Quercus_velutina	Rhus_typhina	Rosa_multiflora	Salix_nigra	Sambucus_nigra	Tilia_americana	Ulmus_americana	Ulmus_rubra	Viburnum_acerifolium	Viburnum_dentatum	Viburnum_prunifolium
299	0	0	0	0	0	22	4	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311	0	0	0	0	0	8	2	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
313	0	0	0	0	0	26	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	0	0	0	0	0	19	2	0	0	0	0	0	3	0	21	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317	0	0	0	0	0	3	0	0	0	0	0	0	0	0	26	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319	0	0	0	0	0	6	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
331	0	0	0	0	0	7	1	0	1	0	0	0	0	0	39	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
333	0	1	0	0	2	11	1	0	0	0	0	0	0	0	32	0	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
335	0	0	0	0	1	3	2	0	1	0	0	0	0	0	31	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
337	0	1	0	0	0	11	1	0	0	0	0	0	0	0	32	2	1	0	0	0	0	0	3	2	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
