	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
2111	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	41	1	0	0	0	0	4	0	0	0	0	3	0	0	0	0	3	0	0	0	0
2112	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	11	0	110	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0
2113	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	0	178	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0
2114	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	199	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	11	0	0	0
2115	0	0	0	0	2	0	0	0	1	3	1	1	0	0	0	0	8	0	36	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	3	36	0	0	0
2116	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	40	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	1	19	0	0	0
2117	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	16	0	58	1	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	14	0	1	0
2197	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0	0	1	0	36	4	0	0	0	0	1	0	0	0	0	4	0	0	8	0	0	0	0	3	0
2198	0	1	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	57	4	0	2	0	0	0	0	0	0	0	3	0	0	5	0	0	3	0	2	0
2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	72	2	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	0	0	0
2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	77	4	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	5	0	3	0
2201	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	5	40	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	1	0
2202	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	5	0	27	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
2203	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	1	32	3	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	1
2204	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	15	0	16	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	0
2205	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
2206	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	2	1	0	1	0
2207	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	2	0	0	0	0	0	0
2208	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	1	1	0	0	0
2209	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0
2210	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	3	0	0	0
2211	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	3	0	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0
2212	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	52	1	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1	0	1	0
2213	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	0	77	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
2214	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	44	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0
2215	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	68	1	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	2	0	0	0
2216	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	0	51	0	0	0	0	0	3	0	0	0	0	2	0	0	2	1	2	14	0	0	0
2217	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	67	1	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	35	0	0	0
2296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2297	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	6	0	52	2	0	0	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	2	0
2298	0	1	0	0	0	113	0	0	0	0	0	1	0	0	0	0	2	0	21	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
