"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait","env"
"MEM108",108,0.00457373478379586,0.7412098631689,0.720151993362515,8.25353767414516,0.006,"TRCP","meta","topo"
"MEM43",43,0.00452051285151012,0.74573037602041,0.724450300193792,8.28474497202547,0.005,"TRCP","meta","topo"
"MEM91",91,0.00450117983638576,0.750231555856796,0.72874609829609,8.37995620743561,0.006,"TRCP","meta","topo"
"MEM192",192,0.00416213091904494,0.754393686775841,0.732691404788361,7.86310710455664,0.007,"TRCP","meta","topo"
"MEM55",55,0.00412118221204427,0.758514868987885,0.736609090364756,7.90155218327198,0.01,"TRCP","meta","topo"
"MEM118",118,0.00405450711725452,0.76256937610514,0.74047085483354,7.88938788705318,0.009,"TRCP","meta","topo"
"MEM154",154,0.00402999202095766,0.766599368126097,0.744322518229239,7.95981701825552,0.007,"TRCP","meta","topo"
"MEM32",32,0.00389440873252456,0.770493776858622,0.74804208111653,7.80557490965183,0.008,"TRCP","meta","topo"
"MEM95",95,0.00350467715618774,0.773998454014809,0.751349061606708,7.11785756897249,0.01,"TRCP","meta","topo"
"MEM33",33,0.00348699026102672,0.777485444275836,0.754650981133837,7.17724525639565,0.006,"TRCP","meta","topo"
"MEM26",26,0.00306021114519761,0.780545655421034,0.757495746143593,6.37269905063137,0.011,"TRCP","meta","topo"
"MEM105",105,0.00293219233873299,0.783477847759767,0.760211212979566,6.17525593861057,0.01,"TRCP","meta","topo"
"MEM236",236,0.0028859104911092,0.786363758250876,0.762887248168555,6.14637882928434,0.015,"TRCP","meta","topo"
"MEM63",63,0.00279471991465963,0.789158478165536,0.765473637607039,6.01780346781803,0.015,"TRCP","meta","topo"
"MEM111",111,0.00278054157814644,0.791939019743682,0.76805564011161,6.05392387053358,0.015,"TRCP","meta","topo"
"MEM34",34,0.0026848404648504,0.794623860208532,0.770542144702011,5.90890398146825,0.017,"TRCP","meta","topo"
"MEM219",219,0.00262643852648003,0.797250298735013,0.77297428128865,5.84229603324722,0.023,"TRCP","meta","topo"
"MEM146",146,0.00262289511966673,0.799873193854679,0.775413250881362,5.89777464890416,0.014,"TRCP","meta","topo"
"MEM89",89,0.00259355057732946,0.802466744432009,0.777830080040455,5.89523118966722,0.022,"TRCP","meta","topo"
"MEM62",62,0.00252236936350936,0.804989113795518,0.780177460863251,5.79465842572137,0.018,"TRCP","meta","topo"
"MEM13",13,0.00247799810834093,0.807467111903859,0.782485215909281,5.75312179327661,0.018,"TRCP","meta","topo"
"MEM96",96,0.00245528090490199,0.809922392808761,0.78477759723862,5.76109569016482,0.014,"TRCP","meta","topo"
"MEM92",92,0.00243980748201611,0.812362200290777,0.787062721678298,5.78622394410759,0.013,"TRCP","meta","topo"
"MEM74",74,0.00221538779344477,0.814577588084222,0.789102887348045,5.30481817233754,0.027,"TRCP","meta","topo"
"MEM69",69,0.00198978035981423,0.816567368444036,0.790895081409116,4.8054301566773,0.031,"TRCP","meta","topo"
"MEM170",170,0.00198341590302409,0.81855078434706,0.792688113337705,4.83148866740468,0.041,"TRCP","meta","topo"
"MEM110",110,0.00194218227493848,0.820492966621999,0.794442059283695,4.77141406177811,0.033,"TRCP","meta","topo"
"MEM194",194,0.00193686925192049,0.822429835873919,0.796197879809839,4.79935621526998,0.025,"TRCP","meta","topo"
"MEM98",98,0.00192227976143367,0.824352115635353,0.797944916619255,4.8043892946497,0.036,"TRCP","meta","topo"
"MEM126",126,0.00190736297308214,0.826259478608435,0.799682732185524,4.80846365326112,0.026,"TRCP","meta","topo"
"MEM40",40,0.00190482110264423,0.828164299711079,0.801425563739348,4.84420187688552,0.029,"TRCP","meta","topo"
"MEM131",131,0.00188971292726148,0.830054012638341,0.803158890785234,4.84809820506467,0.032,"TRCP","meta","topo"
"MEM158",158,0.00185978196831071,0.831913794606651,0.804865439715768,4.81303718126041,0.037,"TRCP","meta","topo"
"MEM106",106,0.00179949124246204,0.833713285849113,0.806509698971895,4.69658206439675,0.022,"TRCP","meta","topo"
"MEM142",142,0.00179093954480158,0.835504225393915,0.808151579270039,4.71426591203395,0.035,"TRCP","meta","topo"
"MEM150",150,0.00173398854289619,0.837238213936811,0.809734486199282,4.60232754044822,0.03,"TRCP","meta","topo"
"MEM80",80,0.00170341152114029,0.838941625457951,0.811288911499456,4.55841161752063,0.033,"TRCP","meta","topo"
"MEM50",50,0.00163697094944193,0.840578596407393,0.812772537641241,4.41532625103969,0.035,"TRCP","meta","topo"
"MEM140",140,0.00160448517870249,0.842183081586096,0.81422483962932,4.36153581365788,0.03,"TRCP","meta","topo"
"MEM202",202,0.00153797002716927,0.843721051613265,0.815605446412848,4.21202713752276,0.049,"TRCP","meta","topo"
"MEM90",90,0.00152064911125471,0.84524170072452,0.816972034814713,4.19568561780286,0.048,"TRCP","meta","topo"
"MEM166",166,0.00149837966646249,0.846740080390982,0.818318639900108,4.16488367957792,0.038,"TRCP","meta","topo"
"MEM12",12,0.00146402432626813,0.84820410471725,0.819630759722851,4.09899317438701,0.047,"TRCP","meta","topo"
"MEM47",47,0.00146278153083435,0.849666886248085,0.82094758857378,4.12563375822355,0.032,"TRCP","meta","topo"
"MEM88",88,0.00145258943969417,0.851119475687779,0.822258475702904,4.12710350013322,0.053,"TRCP","meta","topo"
"MEM71",71,0.00143630672372486,0.852555782411504,0.823556090326563,4.11085254698506,0.046,"TRCP","meta","topo"
"MEM57",57,0.00142607914526394,0.853981861556768,0.824847601154793,4.11167630649892,0.035,"TRCP","meta","topo"
"MEM151",151,0.00133104108348125,0.855312902640249,0.826030990079347,3.86376715867161,0.045,"TRCP","meta","topo"
"MEM104",104,0.00132950206748728,0.856642404707736,0.827218172738441,3.88581689823609,0.046,"TRCP","meta","topo"
"MEM217",217,0.00125315511277191,0.857895559820508,0.828318798347743,3.68615390537427,0.046,"TRCP","meta","topo"
"NH4",10,0.0881458083961593,0.0881458083961593,0.0863365738890088,48.7199465010138,0.001,"TRCP","meta","soil"
"ECEC",4,0.068534380469127,0.156680188865286,0.153327028582445,40.8774855289912,0.001,"TRCP","meta","soil"
"pHCaCl2",13,0.036000765439948,0.192680954305234,0.187856338494309,22.3856780627553,0.001,"TRCP","meta","soil"
"Mn",8,0.0128798724247095,0.205560826729944,0.199217998999245,8.12247973399711,0.006,"TRCP","meta","soil"
"BS",2,0.0447700018223001,0.250330828552244,0.242834136837766,29.8598391980296,0.001,"TRCP","meta","soil"
"Fe",5,0.00879541533366213,0.259126243885906,0.250217942209184,5.92396776816253,0.019,"TRCP","meta","soil"
"K",6,0.0092974693496104,0.268423713235516,0.258140512417542,6.3289910018592,0.014,"TRCP","meta","soil"
"TotN",11,0.0102780478061811,0.278701761041698,0.267091326611785,7.08193848781502,0.007,"TRCP","meta","soil"
"Ca",3,0.00630104746064236,0.28500280850234,0.272029069140487,4.37109344993677,0.037,"TRCP","meta","soil"
"Mg",7,0.00336354816316214,0.288366356665502,0.273989919426421,2.33962567166412,0.126,"TRCP","meta","soil"
"TEB",14,0.0181825772622282,0.30654893392773,0.291107715857295,12.9528868106241,0.001,"TRCP","meta","soil"
"Al",1,0.0056061138143077,0.312155047742038,0.295412371419329,4.01807718640812,0.059,"TRCP","meta","soil"
"MEM17",17,0.0637628090034083,0.0637628090034083,0.0619051955292086,34.3251219314516,0.001,"TRCP","meta","soil"
"MEM20",20,0.0569932170763582,0.120756026079766,0.117260026183463,32.6048162281848,0.001,"TRCP","meta","soil"
"MEM3",3,0.0505733096293766,0.171329335709143,0.166377120583899,30.6367807235857,0.001,"TRCP","meta","soil"
"MEM44",44,0.0488078628300117,0.220137198539155,0.213910749026493,31.3551809780269,0.001,"TRCP","meta","soil"
"MEM1",1,0.0446264163046312,0.264763614843786,0.257411250992224,30.3483459235696,0.001,"TRCP","meta","soil"
"MEM2",2,0.0431861028503372,0.307949717694123,0.299628471814694,31.1391612333647,0.001,"TRCP","meta","soil"
"MEM6",6,0.0396541737569859,0.347603891451109,0.338433665025723,30.269614230078,0.001,"TRCP","meta","soil"
"MEM7",7,0.0376794609981053,0.385283352449214,0.375388517076163,30.4639417049645,0.001,"TRCP","meta","soil"
"MEM14",14,0.0370044530899771,0.422287805539191,0.411805124591314,31.7705059865649,0.001,"TRCP","meta","soil"
"MEM22",22,0.0366996479364387,0.45898745347563,0.448057907081199,33.5783815832797,0.001,"TRCP","meta","soil"
"MEM15",15,0.0299578539949865,0.488945307470617,0.477565547110651,28.9581136615284,0.001,"TRCP","meta","soil"
"MEM16",16,0.0265599808735194,0.515505288344136,0.503712313618233,27.0262404431481,0.001,"TRCP","meta","soil"
"MEM19",19,0.0264152909223528,0.541920579266489,0.529816854734912,28.3713315760549,0.001,"TRCP","meta","soil"
"MEM27",27,0.0217223927602959,0.563642972026785,0.551201020109015,24.442587517944,0.001,"TRCP","meta","soil"
"MEM28",28,0.0146834225988285,0.578326394625613,0.565418018950887,17.0626688076384,0.001,"TRCP","meta","soil"
"MEM65",65,0.0114949203273268,0.58982131495294,0.576400335483098,13.7038228581232,0.001,"TRCP","meta","soil"
"MEM9",9,0.0108018210898996,0.60062313604284,0.586710417421381,13.1987833237041,0.001,"TRCP","meta","soil"
"MEM58",58,0.0106017482265369,0.611224884269376,0.596855372805,13.2803031300514,0.001,"TRCP","meta","soil"
"MEM109",109,0.00960306268309519,0.620827946952472,0.606004348170778,12.308629885756,0.002,"TRCP","meta","soil"
"MEM84",84,0.00934825141416307,0.630176198366635,0.614925732319898,12.2596271950173,0.001,"TRCP","meta","soil"
"MEM31",31,0.0082708187756857,0.63844701714232,0.62275980094395,11.0718939608573,0.001,"TRCP","meta","soil"
"MEM38",38,0.00811479136273119,0.646561808505052,0.630463174523915,11.0894756778292,0.002,"TRCP","meta","soil"
"MEM18",18,0.00807405836419117,0.654635866869243,0.638155835620265,11.2683853307567,0.003,"TRCP","meta","soil"
"MEM82",82,0.00800810706601562,0.662643973935258,0.645811240825999,11.417906310096,0.001,"TRCP","meta","soil"
"MEM66",66,0.007278036729502,0.66992201066476,0.652730448720217,10.5837339751027,0.001,"TRCP","meta","soil"
"MEM10",10,0.00673238252075858,0.676654393185519,0.659103274652791,9.97326439413662,0.003,"TRCP","meta","soil"
"MEM36",36,0.00641278223142716,0.683067175416946,0.665165112103677,9.67179688836207,0.002,"TRCP","meta","soil"
"MEM29",29,0.00599040464732747,0.689057580064274,0.670805194826956,9.18955675898403,0.006,"TRCP","meta","soil"
"MEM100",100,0.00595634536214718,0.695013925426421,0.67643284105114,9.2962290043772,0.004,"TRCP","meta","soil"
"MEM21",21,0.00568849234033486,0.700702417766756,0.681799412573077,9.02791743754665,0.005,"TRCP","meta","soil"
"MEM49",49,0.00568001010254626,0.706382427869302,0.687179590873412,9.16949475833311,0.004,"TRCP","meta","soil"
"MEM35",35,0.00556813597460604,0.711950563843908,0.692463075562735,9.14332050475341,0.007,"TRCP","meta","soil"
"MEM139",139,0.0054379435747236,0.717388507418632,0.697629653064426,9.08211249240171,0.003,"TRCP","meta","soil"
"MEM8",8,0.00527992463039939,0.722668432049031,0.702648743492061,8.96704446339039,0.003,"TRCP","meta","soil"
"MEM81",81,0.00470230911259994,0.727370741161631,0.707068562311965,8.10655940722872,0.006,"TRCP","meta","soil"
"MEM4",4,0.00466525547651375,0.732035996638145,0.711467331134889,8.16529381198375,0.005,"TRCP","meta","soil"
"MEM93",93,0.00460013174695939,0.736636128385104,0.715814625714696,8.17447603718789,0.004,"TRCP","meta","soil"
"MEM108",108,0.00457373478379586,0.7412098631689,0.720151993362515,8.25353767414516,0.005,"TRCP","meta","soil"
"MEM43",43,0.00452051285151012,0.74573037602041,0.724450300193792,8.28474497202547,0.003,"TRCP","meta","soil"
"MEM91",91,0.00450117983638576,0.750231555856796,0.72874609829609,8.37995620743561,0.006,"TRCP","meta","soil"
"MEM192",192,0.00416213091904494,0.754393686775841,0.732691404788361,7.86310710455664,0.008,"TRCP","meta","soil"
"MEM55",55,0.00412118221204427,0.758514868987885,0.736609090364756,7.90155218327198,0.003,"TRCP","meta","soil"
"MEM118",118,0.00405450711725452,0.76256937610514,0.74047085483354,7.88938788705318,0.006,"TRCP","meta","soil"
"MEM154",154,0.00402999202095766,0.766599368126097,0.744322518229239,7.95981701825552,0.009,"TRCP","meta","soil"
"MEM32",32,0.00389440873252456,0.770493776858622,0.74804208111653,7.80557490965183,0.01,"TRCP","meta","soil"
"MEM95",95,0.00350467715618774,0.773998454014809,0.751349061606708,7.11785756897249,0.013,"TRCP","meta","soil"
"MEM33",33,0.00348699026102672,0.777485444275836,0.754650981133837,7.17724525639565,0.009,"TRCP","meta","soil"
"MEM26",26,0.00306021114519761,0.780545655421034,0.757495746143593,6.37269905063137,0.013,"TRCP","meta","soil"
"MEM105",105,0.00293219233873299,0.783477847759767,0.760211212979566,6.17525593861057,0.015,"TRCP","meta","soil"
"MEM236",236,0.0028859104911092,0.786363758250876,0.762887248168555,6.14637882928434,0.023,"TRCP","meta","soil"
"MEM63",63,0.00279471991465963,0.789158478165536,0.765473637607039,6.01780346781803,0.018,"TRCP","meta","soil"
"MEM111",111,0.00278054157814644,0.791939019743682,0.76805564011161,6.05392387053358,0.012,"TRCP","meta","soil"
"MEM34",34,0.0026848404648504,0.794623860208532,0.770542144702011,5.90890398146825,0.014,"TRCP","meta","soil"
"MEM219",219,0.00262643852648003,0.797250298735013,0.77297428128865,5.84229603324722,0.01,"TRCP","meta","soil"
"MEM146",146,0.00262289511966673,0.799873193854679,0.775413250881362,5.89777464890416,0.019,"TRCP","meta","soil"
"MEM89",89,0.00259355057732946,0.802466744432009,0.777830080040455,5.89523118966722,0.018,"TRCP","meta","soil"
"MEM62",62,0.00252236936350936,0.804989113795518,0.780177460863251,5.79465842572137,0.016,"TRCP","meta","soil"
"MEM13",13,0.00247799810834093,0.807467111903859,0.782485215909281,5.75312179327661,0.015,"TRCP","meta","soil"
"MEM96",96,0.00245528090490199,0.809922392808761,0.78477759723862,5.76109569016482,0.017,"TRCP","meta","soil"
"MEM92",92,0.00243980748201611,0.812362200290777,0.787062721678298,5.78622394410759,0.014,"TRCP","meta","soil"
"MEM74",74,0.00221538779344477,0.814577588084222,0.789102887348045,5.30481817233754,0.022,"TRCP","meta","soil"
"MEM69",69,0.00198978035981423,0.816567368444036,0.790895081409116,4.8054301566773,0.033,"TRCP","meta","soil"
"MEM170",170,0.00198341590302409,0.81855078434706,0.792688113337705,4.83148866740468,0.028,"TRCP","meta","soil"
"MEM110",110,0.00194218227493848,0.820492966621999,0.794442059283695,4.77141406177811,0.026,"TRCP","meta","soil"
"MEM194",194,0.00193686925192049,0.822429835873919,0.796197879809839,4.79935621526998,0.028,"TRCP","meta","soil"
"MEM98",98,0.00192227976143367,0.824352115635353,0.797944916619255,4.8043892946497,0.032,"TRCP","meta","soil"
"MEM126",126,0.00190736297308214,0.826259478608435,0.799682732185524,4.80846365326112,0.027,"TRCP","meta","soil"
"MEM40",40,0.00190482110264423,0.828164299711079,0.801425563739348,4.84420187688552,0.03,"TRCP","meta","soil"
"MEM131",131,0.00188971292726148,0.830054012638341,0.803158890785234,4.84809820506467,0.022,"TRCP","meta","soil"
"MEM158",158,0.00185978196831071,0.831913794606651,0.804865439715768,4.81303718126041,0.029,"TRCP","meta","soil"
"MEM106",106,0.00179949124246204,0.833713285849113,0.806509698971895,4.69658206439675,0.035,"TRCP","meta","soil"
"MEM142",142,0.00179093954480158,0.835504225393915,0.808151579270039,4.71426591203395,0.035,"TRCP","meta","soil"
"MEM150",150,0.00173398854289619,0.837238213936811,0.809734486199282,4.60232754044822,0.032,"TRCP","meta","soil"
"MEM80",80,0.00170341152114029,0.838941625457951,0.811288911499456,4.55841161752063,0.034,"TRCP","meta","soil"
"MEM50",50,0.00163697094944193,0.840578596407393,0.812772537641241,4.41532625103969,0.03,"TRCP","meta","soil"
"MEM140",140,0.00160448517870249,0.842183081586096,0.81422483962932,4.36153581365788,0.036,"TRCP","meta","soil"
"MEM202",202,0.00153797002716927,0.843721051613265,0.815605446412848,4.21202713752276,0.036,"TRCP","meta","soil"
"MEM90",90,0.00152064911125471,0.84524170072452,0.816972034814713,4.19568561780286,0.041,"TRCP","meta","soil"
"MEM166",166,0.00149837966646249,0.846740080390982,0.818318639900108,4.16488367957792,0.044,"TRCP","meta","soil"
"MEM12",12,0.00146402432626813,0.84820410471725,0.819630759722851,4.09899317438701,0.045,"TRCP","meta","soil"
"MEM47",47,0.00146278153083435,0.849666886248085,0.82094758857378,4.12563375822355,0.046,"TRCP","meta","soil"
"MEM88",88,0.00145258943969417,0.851119475687779,0.822258475702904,4.12710350013322,0.057,"TRCP","meta","soil"
"MEM71",71,0.00143630672372486,0.852555782411504,0.823556090326563,4.11085254698506,0.033,"TRCP","meta","soil"
"MEM57",57,0.00142607914526394,0.853981861556768,0.824847601154793,4.11167630649892,0.041,"TRCP","meta","soil"
"MEM151",151,0.00133104108348125,0.855312902640249,0.826030990079347,3.86376715867161,0.06,"TRCP","meta","soil"
"MEM104",104,0.00132950206748728,0.856642404707736,0.827218172738441,3.88581689823609,0.059,"TRCP","meta","soil"
"MEM217",217,0.00125315511277191,0.857895559820508,0.828318798347743,3.68615390537427,0.058,"TRCP","meta","soil"
"MEM182",182,0.0012377312929488,0.859133291113457,0.829406024010302,3.66398812919916,0.062,"TRCP","meta","soil"
"MEM128",128,0.00122881634733463,0.860362107460792,0.830487654489663,3.6608086186038,0.06,"TRCP","meta","soil"
"MEM72",72,0.00119918579499978,0.861561293255791,0.831538441190782,3.59481908368613,0.063,"TRCP","meta","soil"
"MEM144",144,0.00115156441834752,0.862712857674139,0.832536215278841,3.47263160350644,0.054,"TRCP","meta","soil"
"MEM244",244,0.00114958399932874,0.863862441673468,0.833536399624942,3.48748866630906,0.069,"TRCP","meta","soil"
"MEM99",99,0.00112144779383139,0.864983889467299,0.834506951895597,3.42208414414831,0.065,"TRCP","meta","soil"
"MEM5",5,0.00107984353176338,0.866063732999062,0.835431107456269,3.31363342799186,0.067,"TRCP","meta","soil"
"MEM169",169,0.00100946243121136,0.867073195430274,0.836273082176313,3.11359020580051,0.081,"TRCP","meta","soil"
"elev_mean",5,0.067393359663236,0.067393359663236,0.0659315937692911,46.1040717548594,0.001,"WFDP","func","topo"
"aspect",1,0.00492406898269035,0.0723174286459263,0.0694047675113766,3.38114786116487,0.078,"WFDP","func","topo"
"slope",6,0.00335570192697932,0.0756731305729056,0.0713130981699477,2.3089520559774,0.131,"WFDP","func","topo"
"MEM1",1,0.0382600575471908,0.0382600575471908,0.0367526281703056,25.3809950461795,0.001,"WFDP","func","topo"
"MEM60",60,0.0263607867226035,0.0646208442697943,0.0616840180351625,17.9518872528112,0.001,"WFDP","func","topo"
"MEM2",2,0.0249009128718525,0.0895217571416469,0.0852270484489188,17.3941340287052,0.001,"WFDP","func","topo"
"MEM203",203,0.0239873762907757,0.113509133432423,0.107924938997351,17.1823360161843,0.001,"WFDP","func","topo"
"MEM143",143,0.0222774200645118,0.135786553496934,0.128970990038708,16.3430508725027,0.001,"WFDP","func","topo"
"MEM97",97,0.0177927561256394,0.153579309622574,0.145556364690086,13.3064027800497,0.001,"WFDP","func","topo"
"MEM3",3,0.0171234029710788,0.170702712593653,0.161517457828076,13.0495913131079,0.002,"WFDP","func","topo"
"MEM230",230,0.0169184425030942,0.187621155096747,0.17732158178577,13.1410822505155,0.001,"WFDP","func","topo"
"MEM288",288,0.0163447481445783,0.203965903241325,0.192593987573344,12.9356159152137,0.002,"WFDP","func","topo"
"MEM180",180,0.0138464822197005,0.217812385461026,0.205376970285525,11.1347164724988,0.002,"WFDP","func","topo"
"MEM40",40,0.0128799013003716,0.230692286761397,0.217217151656899,10.5140997255602,0.002,"WFDP","func","topo"
"MEM229",229,0.0118137674393996,0.242506054200797,0.228008562415166,9.77860248993602,0.003,"WFDP","func","topo"
"MEM137",137,0.0113408160307248,0.253846870231522,0.238351677440802,9.51460303789995,0.003,"WFDP","func","topo"
"MEM64",64,0.0113076849456815,0.265154555177203,0.248694017213172,9.61740069404002,0.002,"WFDP","func","topo"
"MEM233",233,0.0106845655411368,0.27583912071834,0.258431407274069,9.20675099748962,0.005,"WFDP","func","topo"
"MEM146",146,0.00963865194018371,0.285477772658524,0.267127282068694,8.40404948783303,0.003,"WFDP","func","topo"
"MEM38",38,0.00865594915748796,0.294133721816011,0.274841556656642,7.6275075639102,0.003,"WFDP","func","topo"
"MEM166",166,0.00860072182731036,0.302734443643322,0.282523847806896,7.65999152843223,0.009,"WFDP","func","topo"
"MEM300",300,0.00838893547931985,0.311123379122642,0.290012643966723,7.550176387978,0.013,"WFDP","func","topo"
"MEM9",9,0.00833145232184573,0.319454831444487,0.297466296111514,7.57799662022262,0.008,"WFDP","func","topo"
"MEM131",131,0.0081307742438243,0.327585605688312,0.304736572871895,7.4728002927823,0.007,"WFDP","func","topo"
"MEM6",6,0.00803243748731625,0.335618043175628,0.311928573078162,7.45958537670558,0.007,"WFDP","func","topo"
"MEM179",179,0.0076252387487758,0.343243281924404,0.318721521346906,7.15203505342023,0.012,"WFDP","func","topo"
"MEM43",43,0.00755701041220574,0.35080029233661,0.325465669598526,7.15890865113619,0.013,"WFDP","func","topo"
"MEM169",169,0.00726084859327275,0.358061140929882,0.331923565234845,6.94483746119895,0.007,"WFDP","func","topo"
"MEM12",12,0.00706195044993746,0.36512309137982,0.338195196397561,6.81860620072025,0.011,"WFDP","func","topo"
"MEM94",94,0.00671257829193711,0.371835669671757,0.344122537451393,6.53984589115216,0.008,"WFDP","func","topo"
"MEM51",51,0.00645047372452429,0.378286143396281,0.349795164697584,6.33931414560137,0.009,"WFDP","func","topo"
"MEM59",59,0.00624475179025863,0.38453089518654,0.355270888564261,6.18926045558746,0.017,"WFDP","func","topo"
"MEM41",41,0.00624000277341685,0.390770897959957,0.360759612145176,6.23765620566348,0.011,"WFDP","func","topo"
"MEM156",156,0.00610329876436333,0.39687419672432,0.366122716623093,6.15262293302472,0.015,"WFDP","func","topo"
"MEM283",283,0.00556374443196123,0.402437941156281,0.370935493243598,5.65161863980341,0.023,"WFDP","func","topo"
"MEM71",71,0.00554746166388898,0.40798540282017,0.375746984161863,5.67851161834706,0.011,"WFDP","func","topo"
"MEM119",119,0.00547349582137169,0.413458898641542,0.38049625823462,5.64575093588557,0.019,"WFDP","func","topo"
"MEM16",16,0.00537238541085511,0.418831284052397,0.385154288922983,5.58344022848098,0.023,"WFDP","func","topo"
"MEM153",153,0.00526126311349551,0.424092547165892,0.389710012668334,5.50876992792044,0.027,"WFDP","func","topo"
"MEM124",124,0.0051693715230664,0.429261918688959,0.394183332296087,5.45252149591542,0.021,"WFDP","func","topo"
"MEM134",134,0.00488733695095128,0.43414925563991,0.398371671137941,5.19092629425353,0.016,"WFDP","func","topo"
"MEM55",55,0.00485180569502336,0.439001061334933,0.402536130321704,5.18910681710224,0.034,"WFDP","func","topo"
"MEM293",293,0.00477977717232797,0.443780838507261,0.40663765576985,5.14740721722121,0.027,"WFDP","func","topo"
"MEM13",13,0.00473820558551702,0.448519044092778,0.410708476881748,5.1378871922748,0.024,"WFDP","func","topo"
"TotN",11,0.0409311484190539,0.0409311484190539,0.0394279057049771,27.2285693027247,0.001,"WFDP","func","soil"
"Na",9,0.0171391512915611,0.0580702997106149,0.0551129066170847,11.590715707733,0.001,"WFDP","func","soil"
"TEB",14,0.0119501063348361,0.0700204060454511,0.0656337098475521,8.1725101049123,0.006,"WFDP","func","soil"
"Fe",5,0.00992491893252687,0.0799453249779779,0.0741497049778391,6.84994456661362,0.008,"WFDP","func","soil"
"pHCaCl2",13,0.0209382502647192,0.100883575242697,0.0937927517036017,14.764328959306,0.001,"WFDP","func","soil"
"P",12,0.00299051534506245,0.10387409058776,0.0953800061383545,2.11242214240422,0.161,"WFDP","func","soil"
"MEM1",1,0.0382600575471908,0.0382600575471908,0.0367526281703056,25.3809950461795,0.001,"WFDP","func","soil"
"MEM60",60,0.0263607867226035,0.0646208442697943,0.0616840180351625,17.9518872528112,0.001,"WFDP","func","soil"
"MEM2",2,0.0249009128718525,0.0895217571416469,0.0852270484489188,17.3941340287052,0.002,"WFDP","func","soil"
"MEM203",203,0.0239873762907757,0.113509133432423,0.107924938997351,17.1823360161843,0.001,"WFDP","func","soil"
"MEM143",143,0.0222774200645118,0.135786553496934,0.128970990038708,16.3430508725027,0.001,"WFDP","func","soil"
"MEM97",97,0.0177927561256394,0.153579309622574,0.145556364690086,13.3064027800497,0.002,"WFDP","func","soil"
"MEM3",3,0.0171234029710788,0.170702712593653,0.161517457828076,13.0495913131079,0.001,"WFDP","func","soil"
"MEM230",230,0.0169184425030942,0.187621155096747,0.17732158178577,13.1410822505155,0.003,"WFDP","func","soil"
"MEM288",288,0.0163447481445783,0.203965903241325,0.192593987573344,12.9356159152137,0.001,"WFDP","func","soil"
"MEM180",180,0.0138464822197005,0.217812385461026,0.205376970285525,11.1347164724988,0.003,"WFDP","func","soil"
"MEM40",40,0.0128799013003716,0.230692286761397,0.217217151656899,10.5140997255602,0.002,"WFDP","func","soil"
"MEM229",229,0.0118137674393996,0.242506054200797,0.228008562415166,9.77860248993602,0.004,"WFDP","func","soil"
"MEM137",137,0.0113408160307248,0.253846870231522,0.238351677440802,9.51460303789995,0.004,"WFDP","func","soil"
"MEM64",64,0.0113076849456815,0.265154555177203,0.248694017213172,9.61740069404002,0.003,"WFDP","func","soil"
"MEM233",233,0.0106845655411368,0.27583912071834,0.258431407274069,9.20675099748962,0.006,"WFDP","func","soil"
"MEM146",146,0.00963865194018371,0.285477772658524,0.267127282068694,8.40404948783303,0.004,"WFDP","func","soil"
"MEM38",38,0.00865594915748796,0.294133721816011,0.274841556656642,7.6275075639102,0.005,"WFDP","func","soil"
"MEM166",166,0.00860072182731036,0.302734443643322,0.282523847806896,7.65999152843223,0.011,"WFDP","func","soil"
"MEM300",300,0.00838893547931985,0.311123379122642,0.290012643966723,7.550176387978,0.006,"WFDP","func","soil"
"MEM9",9,0.00833145232184573,0.319454831444487,0.297466296111514,7.57799662022262,0.008,"WFDP","func","soil"
"MEM131",131,0.0081307742438243,0.327585605688312,0.304736572871895,7.4728002927823,0.007,"WFDP","func","soil"
"MEM6",6,0.00803243748731625,0.335618043175628,0.311928573078162,7.45958537670558,0.012,"WFDP","func","soil"
"MEM179",179,0.0076252387487758,0.343243281924404,0.318721521346906,7.15203505342023,0.009,"WFDP","func","soil"
"MEM43",43,0.00755701041220574,0.35080029233661,0.325465669598526,7.15890865113619,0.01,"WFDP","func","soil"
"MEM169",169,0.00726084859327275,0.358061140929882,0.331923565234845,6.94483746119895,0.011,"WFDP","func","soil"
"MEM12",12,0.00706195044993746,0.36512309137982,0.338195196397561,6.81860620072025,0.006,"WFDP","func","soil"
"MEM94",94,0.00671257829193711,0.371835669671757,0.344122537451393,6.53984589115216,0.007,"WFDP","func","soil"
"MEM51",51,0.00645047372452429,0.378286143396281,0.349795164697584,6.33931414560137,0.008,"WFDP","func","soil"
"MEM59",59,0.00624475179025863,0.38453089518654,0.355270888564261,6.18926045558746,0.017,"WFDP","func","soil"
"MEM41",41,0.00624000277341685,0.390770897959957,0.360759612145176,6.23765620566348,0.016,"WFDP","func","soil"
"MEM156",156,0.00610329876436333,0.39687419672432,0.366122716623093,6.15262293302472,0.013,"WFDP","func","soil"
"MEM283",283,0.00556374443196123,0.402437941156281,0.370935493243598,5.65161863980341,0.018,"WFDP","func","soil"
"MEM71",71,0.00554746166388898,0.40798540282017,0.375746984161863,5.67851161834706,0.016,"WFDP","func","soil"
"MEM119",119,0.00547349582137169,0.413458898641542,0.38049625823462,5.64575093588557,0.022,"WFDP","func","soil"
"MEM16",16,0.00537238541085511,0.418831284052397,0.385154288922983,5.58344022848098,0.022,"WFDP","func","soil"
