"sp","trait","values","code","type"
"Lonicera_mackii","SeedMassKEW",-0.369078624265453,NA,"morph"
"Lonicera_mackii","SLA",0.56690908061085,NA,"morph"
"Lonicera_mackii","WoodDensity",-0.552128203111148,NA,"morph"
"Malus_ionensis","BarkThickness",NA,NA,"morph"
"Malus_ionensis","LeafSize",NA,NA,"morph"
"Malus_ionensis","LWC",NA,NA,"morph"
"Malus_ionensis","SeedMassKEW",NA,NA,"morph"
"Malus_ionensis","SLA",NA,NA,"morph"
"Malus_ionensis","WoodDensity",1.25424971216478,NA,"morph"
"Menziesia_ferruginea","BarkThickness",-1.44982451425323,NA,"morph"
"Menziesia_ferruginea","LeafSize",-0.726342470686593,NA,"morph"
"Menziesia_ferruginea","LWC",3.21907766686224,NA,"morph"
"Menziesia_ferruginea","SeedMassKEW",-1.17775455509209,NA,"morph"
"Menziesia_ferruginea","SLA",1.69653849691396,NA,"morph"
"Menziesia_ferruginea","WoodDensity",0.696962908515821,NA,"morph"
"Morus_rubra","BarkThickness",NA,NA,"morph"
"Morus_rubra","LeafSize",0.962707325975983,NA,"morph"
"Morus_rubra","LWC",NA,NA,"morph"
"Morus_rubra","SeedMassKEW",-0.610171719811677,NA,"morph"
"Morus_rubra","SLA",0.686378387522091,NA,"morph"
"Morus_rubra","WoodDensity",1.14042720850173,NA,"morph"
"Nyssa_sylvatica","BarkThickness",0.122752077318555,NA,"morph"
"Nyssa_sylvatica","LeafSize",0.264958888336845,NA,"morph"
"Nyssa_sylvatica","LWC",-0.881021993540261,NA,"morph"
"Nyssa_sylvatica","SeedMassKEW",0.949931821083636,NA,"morph"
"Nyssa_sylvatica","SLA",-0.435127089782375,NA,"morph"
"Nyssa_sylvatica","WoodDensity",-0.445598223492312,NA,"morph"
"Oemleria_cerasiformis","BarkThickness",-1.02551170973186,NA,"morph"
"Oemleria_cerasiformis","LeafSize",0.158833286538935,NA,"morph"
"Oemleria_cerasiformis","LWC",-3.04373042761441,NA,"morph"
"Oemleria_cerasiformis","SeedMassKEW",1.04030923510813,NA,"morph"
"Oemleria_cerasiformis","SLA",-2.43320895091727,NA,"morph"
"Oemleria_cerasiformis","WoodDensity",-1.2616710830886,NA,"morph"
"Ostrya_virginiana","BarkThickness",-1.253662783267,NA,"morph"
"Ostrya_virginiana","LeafSize",0.142382685958286,NA,"morph"
"Ostrya_virginiana","LWC",-0.288243826995539,NA,"morph"
"Ostrya_virginiana","SeedMassKEW",-1.37970126775936,NA,"morph"
"Ostrya_virginiana","SLA",0.82873863739948,NA,"morph"
"Ostrya_virginiana","WoodDensity",1.10899051701384,NA,"morph"
"Paulownia_tomentosa","BarkThickness",0.986045289480549,NA,"morph"
"Paulownia_tomentosa","LeafSize",1.72281249289709,NA,"morph"
"Paulownia_tomentosa","LWC",1.30016152844798,NA,"morph"
"Paulownia_tomentosa","SeedMassKEW",-1.29153694509834,NA,"morph"
"Paulownia_tomentosa","SLA",0.000929521905968384,NA,"morph"
"Paulownia_tomentosa","WoodDensity",-1.40785005604708,NA,"morph"
"Pinus_echinata","BarkThickness",NA,NA,"morph"
"Pinus_echinata","LeafSize",NA,NA,"morph"
"Pinus_echinata","LWC",NA,NA,"morph"
"Pinus_echinata","SeedMassKEW",0.391409218079048,NA,"morph"
"Pinus_echinata","SLA",NA,NA,"morph"
"Pinus_echinata","WoodDensity",NA,NA,"morph"
"Pinus_monticola","BarkThickness",2.23279155461741,NA,"morph"
"Pinus_monticola","LeafSize",-1.69094677369823,NA,"morph"
