"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"MEM166",166,0.00655665002893935,0.366551373768716,0.336436603013458,6.31393983983902,0.011,"WFDP","meta"
"MEM179",179,0.00638200384101423,0.37293337760973,0.342043396211194,6.19812983246096,0.019,"WFDP","meta"
"MEM43",43,0.00592970130252884,0.378863078912259,0.347193268791009,5.80428931132281,0.011,"WFDP","meta"
"MEM12",12,0.00589656537094702,0.384759644283206,0.352325226848383,5.81758843825325,0.016,"WFDP","meta"
"MEM45",45,0.00555765569284911,0.390317299976055,0.357116756905444,5.52408547878148,0.019,"WFDP","meta"
"MEM51",51,0.00544728300430275,0.395764582980358,0.36180755128008,5.45417584731885,0.021,"WFDP","meta"
"MEM125",125,0.00544063680260154,0.401205219782959,0.366506846757137,5.48793132027675,0.021,"WFDP","meta"
"MEM134",134,0.00530559752473825,0.406510817307697,0.371078627296217,5.39062109422784,0.02,"WFDP","meta"
"MEM33",33,0.0050825819387223,0.41159339924642,0.375428873950934,5.20000000542517,0.028,"WFDP","meta"
"MEM71",71,0.00487605873715474,0.416469457983574,0.379574016059075,5.0220358490636,0.018,"WFDP","meta"
"MEM169",169,0.00483998113556716,0.421309439119142,0.383694552661886,5.01820640882749,0.023,"WFDP","meta"
"MEM86",86,0.00476729805499937,0.426076737174141,0.38775131060814,4.97559816774857,0.031,"WFDP","meta"
"MEM119",119,0.00462648458774334,0.430703221761884,0.391671168404422,4.85974607485542,0.023,"WFDP","meta"
"MEM13",13,0.00452677980925648,0.435230001571141,0.395497438867603,4.78511173335021,0.03,"WFDP","meta"
"MEM293",293,0.00452675489202581,0.439756756463167,0.399336522449603,4.81566881309476,0.03,"WFDP","meta"
"MEM98",98,0.00452505465534064,0.444281811118507,0.403186684545758,4.8449152354483,0.038,"WFDP","meta"
"MEM207",207,0.00451011695609094,0.448791928074598,0.407033740807522,4.86025079886817,0.024,"WFDP","meta"
"MEM16",16,0.00436612896064181,0.45315805703524,0.410738614579289,4.73466694896051,0.03,"WFDP","meta"
"MEM129",129,0.0043353946962521,0.457493451731492,0.414422830500715,4.73091738408097,0.028,"WFDP","meta"
"MEM199",199,0.00402966522987519,0.461523116961367,0.417788953871935,4.422719388467,0.037,"WFDP","meta"
"MEM201",201,0.00396487165876092,0.465487988620128,0.421096313098749,4.37646718663997,0.034,"WFDP","meta"
"MEM249",249,0.00386698434184751,0.469354972961976,0.42430870581104,4.292236167861,0.044,"WFDP","meta"
"MEM160",160,0.00377371595810733,0.473128688920083,0.427430667040703,4.21155021483137,0.039,"WFDP","meta"
"Fe",5,0.0794779170006993,0.0794779170006993,0.0771592215775272,34.2769974039847,0.001,"SERC","func"
"P",12,0.0509358265471347,0.130413743547834,0.126021893767773,23.1956141935356,0.001,"SERC","func"
"BS",2,0.0375240731934035,0.167937816741238,0.161618357121551,17.8135831787766,0.001,"SERC","func"
"Na",9,0.0141341808915114,0.182071997632749,0.173768160045264,6.80850546152969,0.009,"SERC","func"
"pHCaCl2",13,0.0210808907607486,0.203152888393498,0.193014884429038,10.3969631668382,0.001,"SERC","func"
"aspect",15,0.0108467134608576,0.213999601854355,0.201968983515391,5.40955410033811,0.018,"SERC","func"
"TotN",11,0.0107230235146947,0.22472262536905,0.210842979275913,5.40800277609218,0.026,"SERC","func"
"elev_mean",19,0.0118300729526708,0.236552698321721,0.220892240851397,6.04328346095308,0.012,"SERC","func"
"MEM2",2,0.100609320197478,0.100609320197478,0.0983438524901667,44.4099555569874,0.001,"SERC","func"
"MEM1",1,0.0653516928026256,0.165961013000103,0.161748694883942,31.0288496739577,0.001,"SERC","func"
"MEM11",11,0.0539928473815656,0.219953860381669,0.214029459321277,27.340914379954,0.001,"SERC","func"
"MEM12",12,0.0384434857632963,0.258397346144965,0.250868385192122,20.4243246865451,0.001,"SERC","func"
"MEM3",3,0.0359757357532017,0.294373081898167,0.285395640192037,20.0367414965423,0.001,"SERC","func"
"MEM16",16,0.0339495079055256,0.328322589803693,0.318041813117014,19.8133909179356,0.001,"SERC","func"
"MEM8",8,0.0327712210015058,0.361093810805198,0.34965559258432,20.0554441767693,0.001,"SERC","func"
"MEM10",10,0.0316315137528954,0.392725324558094,0.380268408138773,20.3141854296035,0.001,"SERC","func"
"MEM22",22,0.0308146580654172,0.423539982623511,0.410202861398862,20.7939867920078,0.001,"SERC","func"
"MEM5",5,0.0254355612958841,0.448975543919395,0.434773882680204,17.9102718108021,0.001,"SERC","func"
"MEM122",122,0.0238838280212104,0.472859371940605,0.457876046595248,17.5342991076889,0.001,"SERC","func"
"MEM34",34,0.0228471069976311,0.495706478938237,0.480028960148752,17.4877981428706,0.001,"SERC","func"
"MEM21",21,0.0192385624899278,0.514945041428164,0.498566562307557,15.2701182159449,0.001,"SERC","func"
"MEM38",38,0.0126355931272429,0.527580634555407,0.510357011856907,10.2706792222521,0.003,"SERC","func"
"MEM64",64,0.0111826837058367,0.538763318261244,0.520699218454243,9.28583529651127,0.005,"SERC","func"
"MEM36",36,0.0108437961176189,0.549607114378863,0.530742490897349,9.1971481992166,0.004,"SERC","func"
"MEM143",143,0.00965729409783556,0.559264408476698,0.539599040875921,8.34838193702089,0.006,"SERC","func"
"MEM96",96,0.00919548912204837,0.568459897598747,0.548018524327109,8.09724483758252,0.001,"SERC","func"
"MEM6",6,0.00896767517732144,0.577427572776068,0.556243203073549,8.04299730233877,0.003,"SERC","func"
"MEM91",91,0.00892633434359691,0.586353907119665,0.56446787045933,8.15710444255484,0.003,"SERC","func"
"MEM112",112,0.00869574979848242,0.595049656918148,0.572492741255763,8.09555475142599,0.004,"SERC","func"
"MEM141",141,0.00731240333603345,0.602362060254181,0.579096010588202,6.9144902423197,0.005,"SERC","func"
"MEM159",159,0.00689442507619298,0.609256485330374,0.585290883097304,6.61664060056974,0.011,"SERC","func"
"MEM53",53,0.00603797367128256,0.615294459001657,0.590607472413528,5.86994964304245,0.015,"SERC","func"
"MEM138",138,0.00573713540542442,0.621031594407081,0.595631567222569,5.64678077285948,0.015,"SERC","func"
"MEM45",45,0.00564262753505895,0.62667422194214,0.60058156003487,5.62258908013742,0.022,"SERC","func"
"MEM7",7,0.00564121466387024,0.63231543660601,0.605556721749844,5.69208187849115,0.019,"SERC","func"
"MEM19",19,0.00479967452094299,0.637115111126953,0.609653551968993,4.89378209785469,0.021,"SERC","func"
"MEM100",100,0.00478807566872108,0.641903186795674,0.613760076814847,4.93386105826629,0.026,"SERC","func"
"MEM76",76,0.00457185341630528,0.64647504021198,0.617655070664043,4.75904744663337,0.04,"SERC","func"
"MEM56",56,0.00442357183147524,0.650898612043455,0.621410483905436,4.65037068931245,0.036,"SERC","func"
"MEM163",163,0.00440036554004297,0.655298977583498,0.625161183273858,4.67226286816672,0.029,"SERC","func"
"MEM142",142,0.00430056231314324,0.659599539896641,0.628823607887296,4.61134877379619,0.034,"SERC","func"
"MEM147",147,0.00426813988646502,0.663867679783106,0.632470704817792,4.62199802051401,0.038,"SERC","func"
"MEM18",18,0.00426066152135318,0.668128341304459,0.636129696526652,4.66029590574372,0.031,"SERC","func"
"MEM172",172,0.00425826402344198,0.672386605327901,0.639806267736201,4.70521535918531,0.023,"SERC","func"
"MEM136",136,0.0042434923049095,0.676630097632811,0.64348692204393,4.73730149546461,0.032,"SERC","func"
"MEM30",30,0.00420814124637781,0.680838238879188,0.647148941871992,4.74659258482587,0.022,"SERC","func"
"MEM28",28,0.0042008447743711,0.68503908365356,0.650823273799768,4.7882235405373,0.03,"SERC","func"
"MEM124",124,0.00417109355631984,0.689210177209879,0.654485057345062,4.80469881464204,0.025,"SERC","func"
"MEM42",42,0.00403672634902807,0.693246903558908,0.658017556348586,4.69795194676956,0.029,"SERC","func"
"MEM79",79,0.00394739714643022,0.697194300705338,0.661470032811024,4.640841924054,0.031,"SERC","func"
"MEM57",57,0.00392980250812935,0.701124103213467,0.664922234025239,4.66775643464596,0.034,"SERC","func"
"P",12,0.0844068714628724,0.0844068714628724,0.082100591542124,36.5987106350389,0.001,"SERC","meta"
"BS",2,0.0825218314097144,0.166928702872587,0.162721272079014,39.2267088674511,0.001,"SERC","meta"
"Na",9,0.0260050741674874,0.192933777040074,0.186804160156834,12.7275854247559,0.003,"SERC","meta"
"aspect",15,0.0229657186440528,0.215899495684127,0.207939084472798,11.5399659813401,0.003,"SERC","meta"
"pHCaCl2",13,0.0123365071623948,0.228236002846522,0.218417122475612,6.28203353966124,0.012,"SERC","meta"
"MEM2",2,0.0834297002216304,0.0834297002216304,0.0811209589123649,36.1364436486718,0.001,"SERC","meta"
"MEM1",1,0.06838011916059,0.15180981938222,0.147526030591221,31.9250656354817,0.001,"SERC","meta"
"MEM11",11,0.060675939675471,0.212485759057691,0.206504638240408,30.4337304975375,0.001,"SERC","meta"
"MEM3",3,0.0551367004464328,0.267622459504124,0.260187154524471,29.6621056418331,0.001,"SERC","meta"
"MEM12",12,0.0404832238701964,0.308105683374321,0.299302956699694,22.9947068485527,0.001,"SERC","meta"
"MEM16",16,0.0302569754385146,0.338362658812835,0.328235556651807,17.9263376378005,0.001,"SERC","meta"
"MEM5",5,0.0299257751101801,0.368288433923015,0.356979019696573,18.5226592268131,0.001,"SERC","meta"
"MEM8",8,0.0271903368277534,0.395478770750769,0.38307833527899,17.5415367562748,0.001,"SERC","meta"
"MEM10",10,0.0245913674098924,0.420070138160661,0.406652737758209,16.4951704540752,0.001,"SERC","meta"
"MEM22",22,0.0238562668075102,0.443926404968171,0.429594611281784,16.6456951094471,0.001,"SERC","meta"
"MEM122",122,0.0227255888624311,0.466651993830603,0.451492231381343,16.4898017580055,0.001,"SERC","meta"
"MEM34",34,0.0209574415480765,0.487609435378679,0.471680195027757,15.7879028149866,0.001,"SERC","meta"
"MEM6",6,0.0202941026199069,0.507903537998586,0.49128729382711,15.8774348364279,0.002,"SERC","meta"
"MEM143",143,0.0144514885939079,0.522355026592494,0.504940886937012,11.618193279564,0.003,"SERC","meta"
"MEM64",64,0.0142534294512215,0.536608456043715,0.518459962155088,11.7806713372673,0.003,"SERC","meta"
"MEM141",141,0.0135534866279911,0.550161942671706,0.531320558071569,11.509546174556,0.001,"SERC","meta"
"MEM21",21,0.0115801873569964,0.561742130028703,0.542187316932871,10.0672496384482,0.004,"SERC","meta"
"MEM38",38,0.011140033661089,0.572882163689792,0.552650266180361,9.91111218342868,0.003,"SERC","meta"
"MEM18",18,0.0101432230465459,0.583025386736338,0.562121646229716,9.21946183857979,0.007,"SERC","meta"
"MEM57",57,0.00862877712306809,0.591654163859406,0.570048564063607,7.98753767969544,0.003,"SERC","meta"
"MEM36",36,0.00842975756598296,0.600083921425389,0.577807428984893,7.94671375480259,0.004,"SERC","meta"
"MEM112",112,0.0070811634775505,0.607165084902939,0.58418006327492,6.77770067077958,0.011,"SERC","meta"
"MEM56",56,0.00691252956145805,0.614077614464397,0.590407708151547,6.71689096746534,0.012,"SERC","meta"
"MEM79",79,0.00654413192557968,0.620621746389977,0.596276617816072,6.45135907732519,0.013,"SERC","meta"
"MEM159",159,0.00635555519727449,0.626977301587252,0.601975780245914,6.35516846205508,0.014,"SERC","meta"
"MEM47",47,0.00633009797647055,0.633307399563722,0.607678346845058,6.42171793061925,0.015,"SERC","meta"
"MEM138",138,0.00615879964420396,0.639466199207926,0.613227890255403,6.33758794038126,0.014,"SERC","meta"
"MEM17",17,0.00602335291971379,0.64548955212764,0.618661734450813,6.28653004070704,0.012,"SERC","meta"
"MEM50",50,0.00502201527441981,0.65051156740206,0.623044996818482,5.30238904471207,0.025,"SERC","meta"
"MEM51",51,0.00499104749494395,0.655502614897004,0.62741858893752,5.33155129055694,0.021,"SERC","meta"
