"sp","site","Alcohols and polyols","Benzenoids","Carbonyl compounds","Glycosides","Organic acids and derivatives","Organoheterocyclic compounds","Phenylpropanoids and polyketides","Prenol lipids, terpenoids","Steroids and steroid derivatives","LeafSize","SLA","LWC","ChlorophyllContent","BarkThickness","WoodDensity","SeedMassKEW","abu"
"Aralia_spinosa","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asimina_triloba","SERC",-0.411224335912925,0.18660957021645,-0.546160657173243,-0.228295368287069,0.516151122233598,0.305337016228975,-0.376357058980313,-0.637319396598731,0.44313521843986,1.36786742841099,1.25855630455304,1.45758957741927,-0.00888455945990577,1.75714213917864,-1.40170725426193,1.51740284853061,122
"Betula_nigra","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67454226756274,NA
"Broussonetia_papyrifera","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpinus_caroliniana","SERC",0.452225946320372,-0.617302945693649,-0.471123015177465,-0.402764812735526,-0.218379956830178,-0.26115611441195,-0.429100045770454,0.554513497009933,-0.538219321780172,-0.18835337082881,0.757410716966003,-0.638026865655907,-0.4377702101978,-0.782448572327031,-0.0861950452592895,0.354482080935323,3802
"Carya_alba","SERC",NA,-0.422205556819243,-0.352481695436425,-0.383720082856704,-0.810431599133238,-0.631012093522292,-0.350655840522572,-0.368817317390339,-0.652503300192875,0.537905250476066,-0.34309869533783,-1.13572872840703,NA,1.19139173315015,-1.03037981374039,NA,394
"Carya_cordiformis","SERC",NA,-0.426664613034814,-0.328590463791746,-0.388825406092389,-0.128308419209265,-0.486126752993205,-0.656752152327298,-0.543938275512499,-0.560324013108727,0.645065601417602,1.27092482943213,-0.0455529521541214,0.0701821957697763,1.18161333107058,-1.05324286209522,1.93654985597238,8
"Carya_glabra","SERC",-0.911174406543888,0.0339404438688668,-0.147532908955476,0.371544326328465,0.803941553893261,-0.167083764756018,0.538879979816734,-0.276419944184747,-0.282073605567957,0.867982375514603,-0.243595180618221,-1.42095031992243,NA,0.88127669577157,-0.841858212435274,2.01249186046854,101
"Celtis_occidentalis","SERC",NA,-0.216719350648025,-0.548768314012895,-0.0315208522430772,-0.780006829799083,-0.595327391584924,-0.583521504809234,-0.424917511705568,-0.531081310259576,0.0815773817853844,1.43455064121384,1.76885025499362,-0.797432837506876,0.231711414775895,-0.654617730219002,0.889237479324872,8
"Cephalanthus_occidentalis","SERC",-0.646776010735309,-0.475799844938264,-0.532713875132573,-0.586634059082339,-0.63004658653119,1.0634650698203,-0.781656755716169,-0.688942975225901,-0.384473522576876,0.361588483554864,0.307636402395495,1.30619669835153,-0.537415712592847,2.67072427632095,-1.28207044088795,-0.399105957797628,6
"Cercis_canadensis","SERC",-0.579589891813732,-0.4847169411265,-0.532279198978766,-0.390370034819566,-0.602745798482304,-0.658102866667093,-0.155523313602085,-0.450059181796663,-0.607074247644369,NA,NA,NA,NA,NA,NA,0.326002660415695,1
"Cornus_alternifolia","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus_florida","SERC",0.701953998064615,2.06074834098372,-0.259642645693672,0.85633329933482,3.72688254683455,-0.282524200851556,1.64678248093503,0.86776047028519,0.377289723198757,0.476384745939524,0.670663065968479,0.942160386089402,-0.503131004851737,0.558589427147912,-0.570655156088338,0.806613613313638,551
"Elaeagnus_angustifolia","SERC",NA,-0.679820262923829,-0.540606316140423,0.0377073325677755,-0.743982136976965,-0.404261835087863,2.30745599728006,-0.547357802211239,-0.647750243147485,-0.462808877372689,0.971023536064985,1.88133554936453,-0.224812857434742,-0.0155424663772982,-0.858611308212519,0.910995115561974,10
"Euonymous_americanus","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus_grandifolia","SERC",4.07665134619449,1.05037388588691,NA,-0.588753585658569,0.0795559981158415,0.232641099527844,2.82617068796176,-0.499578875343509,0.186664069315244,0.404564433734411,0.153299989858966,-1.64202063781404,NA,0.00960199611285702,-0.181293500700712,1.08003447098102,5942
